case_id,split,ood_tag,topology_type,hazard_type,load_scale,residual_norm,drift_ratio_pct,base_shear_kN,mode_shape_mac,buckling_factor,equilibrium_residual,top_displacement_m,axial_force_kN,shear_force_y_kN,shear_force_z_kN,bending_moment_y_kNm,bending_moment_z_kNm
C-TRN-001,train,in_distribution,rahmen,wind,1.0,0.02,1.530760,1271.340000,0.981,2.86,0.0,0.376493,927.072000,166.705920,129.660160,1249.041600,1017.737600
C-TRN-002,train,in_distribution,truss,wind,0.92,0.017,1.103340,918.190000,0.988,3.21,0.0,0.358227,741.258000,133.292880,103.672240,998.694900,813.751400
C-TRN-003,train,in_distribution,rahmen,seismic,1.2,0.027,2.067520,1750.615000,0.976,2.49,0.0,0.508510,1182.816000,212.693760,165.428480,1593.604800,1298.492800
C-TRN-004,train,in_distribution,wall-frame,wind,1.08,0.021,1.411480,1331.880000,0.983,2.94,0.0,0.569393,1000.998000,179.999280,139.999440,1348.641900,1098.893400
C-TRN-005,train,in_distribution,outrigger,combined,1.28,0.033,2.425360,2159.260000,0.971,2.18,0.0,1.169335,1559.439000,280.418040,218.102920,2101.027950,1711.948700
C-TRN-006,train,in_distribution,truss,seismic,1.14,0.024,1.709680,1463.050000,0.979,2.73,0.0,0.555090,1095.903000,197.065080,153.272840,1476.507150,1203.079900
C-TRN-007,train,in_distribution,wall-frame,combined,1.25,0.03,2.147040,1912.055000,0.974,2.36,0.0,0.866118,1333.665000,239.819400,186.526200,1796.843250,1464.094500
C-VAL-001,val,in_distribution,rahmen,combined,1.18,0.028,2.007880,1720.345000,0.975,2.45,0.0,0.493841,1247.751000,224.370360,174.510280,1681.091550,1369.778300
C-VAL-002,val,in_distribution,truss,wind,0.95,0.018,1.172920,988.820000,0.987,3.12,0.0,0.380818,790.209000,142.095240,110.518520,1064.646450,867.489700
C-TST-001,test,ood_topology,outrigger,seismic,1.22,0.031,2.296140,2053.315000,0.972,2.24,0.0,1.107035,1496.502000,269.100720,209.300560,2016.233100,1642.856600
C-TST-002,test,ood_hazard,wall-frame,seismic,1.16,0.026,1.868720,1624.490000,0.978,2.57,0.0,0.753844,1214.784000,218.442240,169.899520,1636.675200,1333.587200
C-TST-003,test,ood_combined,outrigger,combined,1.3,0.035,2.564520,2280.340000,0.969,2.1,0.0,1.236428,1636.362000,294.250320,228.861360,2204.666100,1796.394600
