case_id,split,ood_tag,topology_type,hazard_type,load_scale,residual_norm,drift_ratio_pct,base_shear_kN,mode_shape_mac,buckling_factor,equilibrium_residual,top_displacement_m,axial_force_kN,shear_force_y_kN,shear_force_z_kN,bending_moment_y_kNm,bending_moment_z_kNm
C-TRN-001,train,in_distribution,rahmen,wind,1.0,0.02,1.690040,1185.440000,0.948,2.62,0.021,0.408275,960.874000,169.282432,130.809152,1281.784840,1040.847840
C-TRN-002,train,in_distribution,truss,wind,0.92,0.017,1.214400,861.056000,0.96,3.0,0.017,0.387272,762.280000,134.295040,103.773440,1016.864800,825.724800
C-TRN-003,train,in_distribution,rahmen,seismic,1.2,0.027,2.337720,1601.088000,0.938,2.24,0.03,0.564739,1220.651000,215.048768,166.174048,1628.321660,1322.246160
C-TRN-004,train,in_distribution,wall-frame,wind,1.08,0.021,1.568600,1238.016000,0.951,2.72,0.022,0.621521,1039.108000,183.065344,141.459584,1386.147280,1125.593280
C-TRN-005,train,in_distribution,outrigger,combined,1.28,0.033,2.783000,1962.176000,0.928,1.94,0.035,1.317898,1616.836000,284.846848,220.108928,2156.823760,1751.405760
C-TRN-006,train,in_distribution,truss,seismic,1.14,0.024,1.922800,1341.184000,0.943,2.49,0.027,0.613181,1131.384000,199.322112,154.021632,1509.241440,1225.549440
C-TRN-007,train,in_distribution,wall-frame,combined,1.25,0.03,2.438920,1751.872000,0.933,2.1,0.032,0.966363,1378.122000,242.791296,187.611456,1838.384520,1492.823520
C-VAL-001,val,in_distribution,rahmen,combined,1.18,0.028,2.277000,1580.256000,0.937,2.21,0.029,0.550070,1294.873000,228.124864,176.278304,1727.332180,1402.645680
C-VAL-002,val,in_distribution,truss,wind,0.95,0.018,1.285240,931.488000,0.958,2.92,0.018,0.409863,820.454000,144.543872,111.692992,1094.467640,888.740640
C-TST-001,test,ood_topology,outrigger,seismic,1.22,0.031,2.631200,1862.976000,0.93,1.99,0.033,1.246013,1552.644000,273.537792,211.370112,2071.193040,1681.871040
C-TST-002,test,ood_hazard,wall-frame,seismic,1.16,0.026,2.115080,1487.008000,0.941,2.31,0.028,0.838050,1262.777000,222.470336,171.908896,1684.516820,1367.878320
C-TST-003,test,ood_combined,outrigger,combined,1.3,0.035,2.965160,2065.344000,0.923,1.84,0.037,1.404160,1707.106000,300.750208,232.397888,2277.241960,1849.188960
