case_id,split,ood_tag,topology_type,hazard_type,load_scale,residual_norm,drift_ratio_pct,base_shear_kN,mode_shape_mac,buckling_factor,equilibrium_residual,top_displacement_m,axial_force_kN,shear_force_y_kN,shear_force_z_kN,bending_moment_y_kNm,bending_moment_z_kNm
C-TRN-001,train,in_distribution,rahmen,wind,1.0,0.02,1.659980,1205.755000,0.948,2.62,0.021,0.408275,957.042000,168.270784,130.027424,1270.317580,1031.536080
C-TRN-002,train,in_distribution,truss,wind,0.92,0.017,1.192800,875.812000,0.96,3.0,0.017,0.387272,759.240000,133.492480,103.153280,1007.767600,818.337600
C-TRN-003,train,in_distribution,rahmen,seismic,1.2,0.027,2.296140,1628.526000,0.938,2.24,0.03,0.564739,1215.783000,213.763616,165.180976,1613.754170,1310.416920
C-TRN-004,train,in_distribution,wall-frame,wind,1.08,0.021,1.540700,1259.232000,0.951,2.72,0.022,0.621521,1034.964000,181.971328,140.614208,1373.746360,1115.523360
C-TRN-005,train,in_distribution,outrigger,combined,1.28,0.033,2.733500,1995.802000,0.928,1.94,0.035,1.317898,1610.388000,283.144576,218.793536,2137.528120,1735.737120
C-TRN-006,train,in_distribution,truss,seismic,1.14,0.024,1.888600,1364.168000,0.943,2.49,0.027,0.613181,1126.872000,198.130944,153.101184,1495.739280,1214.585280
C-TRN-007,train,in_distribution,wall-frame,combined,1.25,0.03,2.395540,1781.894000,0.933,2.1,0.032,0.966363,1372.626000,241.340352,186.490272,1821.937740,1479.468240
C-VAL-001,val,in_distribution,rahmen,combined,1.18,0.028,2.236500,1607.337000,0.937,2.21,0.029,0.550070,1289.709000,226.761568,175.224848,1711.878910,1390.097160
C-VAL-002,val,in_distribution,truss,wind,0.95,0.018,1.262380,947.451000,0.958,2.92,0.018,0.409863,817.182000,143.680064,111.025504,1084.676180,880.789680
C-TST-001,test,ood_topology,outrigger,seismic,1.22,0.031,2.584400,1894.902000,0.93,1.99,0.033,1.246013,1546.452000,271.903104,210.106944,2052.663480,1666.824480
C-TST-002,test,ood_hazard,wall-frame,seismic,1.16,0.026,2.077460,1512.491000,0.941,2.31,0.028,0.838050,1257.741000,221.140832,170.881552,1669.446590,1355.640840
C-TST-003,test,ood_combined,outrigger,combined,1.3,0.035,2.912420,2100.738000,0.923,1.84,0.037,1.404160,1700.298000,298.952896,231.009056,2256.869020,1832.645520
