time_s,acc_x_g,disp_top_mm,disp_mid_mm
0.00,0.000000,0.000000,0.000000
0.01,0.010519,0.000000,0.000000
0.02,0.020818,0.004720,0.003461
0.03,0.030685,0.014060,0.010310
0.04,0.039919,0.027826,0.020407
0.05,0.048337,0.045736,0.033540
0.06,0.055781,0.067423,0.049443
0.07,0.062119,0.092449,0.067796
0.08,0.067251,0.120319,0.088234
0.09,0.071109,0.150491,0.110360
0.10,0.073661,0.182394,0.133756
0.11,0.074909,0.215442,0.157991
0.12,0.074888,0.249050,0.182636
0.13,0.073665,0.282648,0.207275
0.14,0.071334,0.315698,0.231511
0.15,0.068015,0.347702,0.254981
0.16,0.063844,0.378216,0.277358
0.17,0.058975,0.406860,0.298364
0.18,0.053567,0.433319,0.317767
0.19,0.047784,0.457352,0.335392
0.20,0.041786,0.478790,0.351112
0.21,0.035726,0.497538,0.364861
0.22,0.029742,0.513566,0.376615
0.23,0.023956,0.526910,0.386400
0.24,0.018471,0.537657,0.394283
0.25,0.013364,0.545944,0.400359
0.26,0.008689,0.551940,0.404756
0.27,0.004478,0.555838,0.407614
0.28,0.000734,0.557847,0.409088
0.29,-0.002559,0.558176,0.409329
0.30,-0.005438,0.557028,0.408488
0.31,-0.007955,0.554589,0.406698
0.32,-0.010179,0.551020,0.404081
0.33,-0.012182,0.546453,0.400732
0.34,-0.014043,0.540987,0.396724
0.35,-0.015839,0.534687,0.392103
0.36,-0.017640,0.527580,0.386893
0.37,-0.019508,0.519666,0.381088
0.38,-0.021488,0.510914,0.374671
0.39,-0.023611,0.501274,0.367601
0.40,-0.025886,0.490681,0.359832
0.41,-0.028302,0.479067,0.351316
0.42,-0.030828,0.466369,0.342004
0.43,-0.033409,0.452538,0.331861
0.44,-0.035972,0.437549,0.320869
0.45,-0.038427,0.421411,0.309034
0.46,-0.040671,0.404170,0.296391
0.47,-0.042590,0.385923,0.283010
0.48,-0.044065,0.366815,0.268998
0.49,-0.044976,0.347046,0.254500
0.50,-0.045211,0.326867,0.239703
0.51,-0.044664,0.306583,0.224827
0.52,-0.043248,0.286545,0.210133
0.53,-0.040893,0.267141,0.195904
0.54,-0.037554,0.248794,0.182449
0.55,-0.033212,0.231946,0.170094
0.56,-0.027878,0.217046,0.159167
0.57,-0.021594,0.204539,0.149995
0.58,-0.014432,0.194850,0.142890
0.59,-0.006494,0.188375,0.138141
0.60,0.002090,0.185461,0.136005
0.61,0.011165,0.186399,0.136693
0.62,0.020554,0.191408,0.140366
0.63,0.030066,0.200629,0.147128
0.64,0.039496,0.214119,0.157021
0.65,0.048637,0.231838,0.170015
0.66,0.057281,0.253660,0.186017
0.67,0.065229,0.279358,0.204863
0.68,0.072294,0.308623,0.226324
0.69,0.078311,0.341059,0.250109
0.70,0.083136,0.376192,0.275875
0.71,0.086656,0.413491,0.303227
0.72,0.088790,0.452369,0.331738
0.73,0.089491,0.492205,0.360950
0.74,0.088750,0.532355,0.390393
0.75,0.086592,0.572172,0.419593
0.76,0.083079,0.611022,0.448083
0.77,0.078304,0.648295,0.475416
0.78,0.072394,0.683427,0.501180
0.79,0.065497,0.715906,0.524997
0.80,0.057786,0.745291,0.546546
0.81,0.049447,0.771216,0.565559
0.82,0.040678,0.793401,0.581827
0.83,0.031677,0.811651,0.595211
0.84,0.022644,0.825863,0.605633
0.85,0.013765,0.836022,0.613083
0.86,0.005217,0.842198,0.617612
0.87,-0.002844,0.844539,0.619328
0.88,-0.010286,0.843263,0.618393
0.89,-0.017001,0.838648,0.615008
0.90,-0.022909,0.831020,0.609415
0.91,-0.027962,0.820742,0.601878
0.92,-0.032139,0.808197,0.592678
0.93,-0.035446,0.793778,0.582104
0.94,-0.037917,0.777875,0.570443
0.95,-0.039608,0.760865,0.557967
0.96,-0.040595,0.743094,0.544935
0.97,-0.040969,0.724881,0.531579
0.98,-0.040829,0.706500,0.518100
0.99,-0.040280,0.688183,0.504667
1.00,-0.039430,0.670111,0.491414
1.01,-0.038377,0.652421,0.478442
1.02,-0.037213,0.635203,0.465815
1.03,-0.036016,0.618507,0.453572
1.04,-0.034847,0.602349,0.441722
1.05,-0.033747,0.586715,0.430257
1.06,-0.032740,0.571574,0.419154
1.07,-0.031824,0.556885,0.408382
1.08,-0.030981,0.542607,0.397912
1.09,-0.030172,0.528708,0.387719
1.10,-0.029340,0.515171,0.377792
1.11,-0.028418,0.502007,0.368139
1.12,-0.027326,0.489258,0.358789
1.13,-0.025981,0.476998,0.349798
1.14,-0.024297,0.465342,0.341250
1.15,-0.022196,0.454441,0.333256
1.16,-0.019604,0.444483,0.325954
1.17,-0.016465,0.435687,0.319504
1.18,-0.012739,0.428300,0.314087
1.19,-0.008406,0.422584,0.309896
1.20,-0.003471,0.418814,0.307130
1.21,0.002036,0.417256,0.305988
1.22,0.008059,0.418170,0.306658
1.23,0.014516,0.421786,0.309309
1.24,0.021301,0.428298,0.314085
1.25,0.028284,0.437854,0.321094
1.26,0.035319,0.450544,0.330400
1.27,0.042243,0.466391,0.342020
1.28,0.048883,0.485343,0.355918
1.29,0.055064,0.507274,0.372001
1.30,0.060609,0.531978,0.390117
1.31,0.065351,0.559170,0.410058
1.32,0.069135,0.588490,0.431559
1.33,0.071823,0.619508,0.454306
1.34,0.073302,0.651731,0.477936
1.35,0.073486,0.684618,0.502053
1.36,0.072320,0.717588,0.526231
1.37,0.069785,0.750034,0.550025
1.38,0.065894,0.781343,0.572985
1.39,0.060697,0.810906,0.594665
1.40,0.054278,0.838138,0.614635
1.41,0.046755,0.862490,0.632493
