time_s,acc_x_g,disp_top_mm,disp_mid_mm
0.00,0.000000,0.000000,0.000000
0.01,0.010519,0.000000,0.000000
0.02,0.020818,0.000000,0.000000
0.03,0.030685,0.000000,0.000000
0.04,0.039919,0.004691,0.003440
0.05,0.048337,0.013975,0.010248
0.06,0.055781,0.027659,0.020284
0.07,0.062119,0.045461,0.033338
0.08,0.067251,0.067017,0.049146
0.09,0.071109,0.091892,0.067388
0.10,0.073661,0.119595,0.087703
0.11,0.074909,0.149586,0.109696
0.12,0.074888,0.181297,0.132951
0.13,0.073665,0.214145,0.157040
0.14,0.071334,0.247551,0.181537
0.15,0.068015,0.280947,0.206028
0.16,0.063844,0.313798,0.230118
0.17,0.058975,0.345609,0.253446
0.18,0.053567,0.375940,0.275689
0.19,0.047784,0.404411,0.296569
0.20,0.041786,0.430711,0.315854
0.21,0.035726,0.454599,0.333373
0.22,0.029742,0.475909,0.348999
0.23,0.023956,0.494544,0.362665
0.24,0.018471,0.510475,0.374348
0.25,0.013364,0.523739,0.384075
0.26,0.008689,0.534422,0.391910
0.27,0.004478,0.542659,0.397950
0.28,0.000734,0.548619,0.402320
0.29,-0.002559,0.552493,0.405161
0.30,-0.005438,0.554490,0.406626
0.31,-0.007955,0.554817,0.406866
0.32,-0.010179,0.553676,0.406030
0.33,-0.012182,0.551252,0.404251
0.34,-0.014043,0.547704,0.401649
0.35,-0.015839,0.543164,0.398321
0.36,-0.017640,0.537731,0.394337
0.37,-0.019508,0.531469,0.389743
0.38,-0.021488,0.524405,0.384564
0.39,-0.023611,0.516539,0.378795
0.40,-0.025886,0.507839,0.372416
0.41,-0.028302,0.498257,0.365389
0.42,-0.030828,0.487728,0.357667
0.43,-0.033409,0.476184,0.349202
0.44,-0.035972,0.463562,0.339946
0.45,-0.038427,0.449815,0.329864
0.46,-0.040671,0.434916,0.318938
0.47,-0.042590,0.418875,0.307174
0.48,-0.044065,0.401738,0.294607
0.49,-0.044976,0.383600,0.281307
0.50,-0.045211,0.364608,0.267379
0.51,-0.044664,0.344957,0.252969
0.52,-0.043248,0.324900,0.238260
0.53,-0.040893,0.304738,0.223474
0.54,-0.037554,0.284820,0.208868
0.55,-0.033212,0.265533,0.194725
0.56,-0.027878,0.247297,0.181351
0.57,-0.021594,0.230550,0.169071
0.58,-0.014432,0.215740,0.158209
0.59,-0.006494,0.203308,0.149092
0.60,0.002090,0.193677,0.142030
0.61,0.011165,0.187242,0.137310
0.62,0.020554,0.184345,0.135186
0.63,0.030066,0.185277,0.135870
0.64,0.039496,0.190256,0.139521
0.65,0.048637,0.199422,0.146243
0.66,0.057281,0.212830,0.156076
0.67,0.065229,0.230443,0.168992
0.68,0.072294,0.252133,0.184898
0.69,0.078311,0.277677,0.203630
0.70,0.083136,0.306766,0.224962
0.71,0.086656,0.339006,0.248604
0.72,0.088790,0.373928,0.274215
0.73,0.089491,0.411002,0.301402
0.74,0.088750,0.449646,0.329741
0.75,0.086592,0.489243,0.358778
0.76,0.083079,0.529151,0.388044
0.77,0.078304,0.568729,0.417068
0.78,0.072394,0.607345,0.445386
0.79,0.065497,0.644394,0.472555
0.80,0.057786,0.679314,0.498164
0.81,0.049447,0.711597,0.521838
0.82,0.040678,0.740806,0.543257
0.83,0.031677,0.766575,0.562156
0.84,0.022644,0.788626,0.578326
0.85,0.013765,0.806766,0.591629
0.86,0.005217,0.820893,0.601988
0.87,-0.002844,0.830991,0.609394
0.88,-0.010286,0.837129,0.613895
0.89,-0.017001,0.839456,0.615601
0.90,-0.022909,0.838188,0.614672
0.91,-0.027962,0.833601,0.611307
0.92,-0.032139,0.826019,0.605748
0.93,-0.035446,0.815803,0.598256
0.94,-0.037917,0.803333,0.589111
0.95,-0.039608,0.789001,0.578601
0.96,-0.040595,0.773194,0.567010
0.97,-0.040969,0.756286,0.554609
0.98,-0.040829,0.738622,0.541656
0.99,-0.040280,0.720518,0.528380
1.00,-0.039430,0.702248,0.514982
1.01,-0.038377,0.684042,0.501630
1.02,-0.037213,0.666078,0.488457
1.03,-0.036016,0.648495,0.475563
1.04,-0.034847,0.631380,0.463012
1.05,-0.033747,0.614785,0.450843
1.06,-0.032740,0.598724,0.439064
1.07,-0.031824,0.583184,0.427668
1.08,-0.030981,0.568134,0.416631
1.09,-0.030172,0.553534,0.405925
1.10,-0.029340,0.539342,0.395517
1.11,-0.028418,0.525526,0.385386
1.12,-0.027326,0.512071,0.375519
1.13,-0.025981,0.498986,0.365924
1.14,-0.024297,0.486313,0.356630
1.15,-0.022196,0.474127,0.347693
1.16,-0.019604,0.462541,0.339197
1.17,-0.016465,0.451706,0.331251
1.18,-0.012739,0.441808,0.323993
1.19,-0.008406,0.433065,0.317581
1.20,-0.003471,0.425723,0.312197
1.21,0.002036,0.420041,0.308031
1.22,0.008059,0.416293,0.305282
1.23,0.014516,0.414745,0.304147
1.24,0.021301,0.415653,0.304813
1.25,0.028284,0.419248,0.307448
1.26,0.035319,0.425721,0.312195
1.27,0.042243,0.435219,0.319161
1.28,0.048883,0.447833,0.328411
1.29,0.055064,0.463584,0.339962
1.30,0.060609,0.482422,0.353776
1.31,0.065351,0.504221,0.369762
1.32,0.069135,0.528777,0.387769
1.33,0.071823,0.555805,0.407590
1.34,0.073302,0.584949,0.428962
1.35,0.073486,0.615780,0.451572
1.36,0.072320,0.647809,0.475060
1.37,0.069785,0.680498,0.499032
1.38,0.065894,0.713269,0.523064
1.39,0.060697,0.745520,0.546715
1.40,0.054278,0.776641,0.569537
1.41,0.046755,0.806026,0.591086
