group_id,group_index,story_band,zone_label,member_type,semantic_group,action_name,action_family,before_section,after_section,before_rebar_ratio,after_rebar_ratio,rebar_ratio_delta,before_thickness_scale,after_thickness_scale,before_detailing_quality,after_detailing_quality,cost_proxy_before,cost_proxy_after,cost_proxy_delta,max_dcr_before,max_dcr_after,max_dcr_delta,governing_member_governing_dcr_before,governing_member_governing_dcr_after,governing_clause,drift_before_pct,drift_after_pct,residual_before_pct,residual_after_pct,before_constructability,after_constructability,before_detailing_complexity,after_detailing_complexity,constructability_delta,overdesign_margin_delta,selection_gate,reason_selected
S04:intermediate:nogroup:slab:SB1500X800,204,4,intermediate,wall,,rebar_down,rebar,DBUSER,DBUSER,0.010000000000000004,0.004,-0.006000000000000004,0.9600000000000006,0.9600000000000006,1.1000000000000005,1.1000000000000005,612.6000000000003,458.2248000000002,-154.37520000000006,0.0,0.3504439952397963,0.3504439952397963,1.2462441211956519,1.2462441211956519,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.41060000000000035,0.39060000000000034,0.6524,0.6404,-0.020000000000000018,-314.95732962995675,hard_gate_pass,selected_best_gain_in_batch
S03:perimeter:nogroup:slab:SB1500X800,50,3,perimeter,wall,,rebar_down,rebar,DBUSER,DBUSER,0.009999999999999998,0.004,-0.005999999999999998,0.9600000000000003,0.9600000000000003,1.0999999999999999,1.0999999999999999,612.5999999999999,458.22479999999996,-154.37519999999995,0.0,0.5501960651847766,0.5501960651847766,1.1714694739239129,1.1714694739239129,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.41940000000000016,0.39940000000000014,0.6596000000000001,0.6476000000000001,-0.020000000000000018,-406.48868193008116,hard_gate_pass,selected_best_gain_in_batch
S05:perimeter:2:column:P 50x4,278,5,perimeter,column,2,perimeter_frame_down,perimeter_frame,DBUSER,DBUSER,0.074,0.064,-0.009999999999999995,1.02,1.02,0.55,0.55,739.9052800000001,691.911424,-47.99385600000005,-0.6129373705877352,0.2387686827357232,0.8517060533234584,1.3097713172543999,1.3097713172543999,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4779000000000001,0.4499000000000001,0.6596,0.6476,-0.028000000000000025,-666.7162320854605,hard_gate_pass,selected_best_gain_in_batch
S04:perimeter:1:slab:default,208,4,perimeter,slab,1,slab_thickness_down,slab_thickness,,,0.010000000000000002,0.010000000000000002,0.0,0.9600000000000004,0.9200000000000004,1.1,1.1,612.5999999999999,597.7293522340425,-14.870647765957415,0.0,0.41903523089535444,0.41903523089535444,0.0,0.0,,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.10840000000000004,0.06840000000000003,0.03959999999999998,0.023599999999999982,-0.04000000000000001,-265.3403048922801,hard_gate_pass,selected_best_gain_in_batch
S02:perimeter:nogroup:slab:SB1500X800,41,2,perimeter,wall,,wall_thickness_down,wall_thickness,DBUSER,DBUSER,0.009999999999999998,0.009999999999999998,0.0,0.9600000000000002,0.9000000000000001,1.0999999999999999,1.0999999999999999,612.6,599.3972486252081,-13.202751374791887,0.0,0.9760890694325534,0.9760890694325534,1.1714694739239129,1.1714694739239129,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4232181818181818,0.32121818181818174,0.6596000000000001,0.6236,-0.10200000000000009,-598.2678540058041,hard_gate_pass,selected_best_gain_in_batch
S03:intermediate:nogroup:slab:SB800X3002.00,47,3,intermediate,wall,,wall_thickness_down,wall_thickness,DBUSER,DBUSER,0.01,0.01,0.0,0.96,0.94,1.0999999999999999,1.0999999999999999,612.6000000000001,608.2607500000001,-4.339249999999993,0.0,0.4871478485287804,0.4871478485287804,1.2462441211956519,1.2462441211956519,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4106000000000001,0.37660000000000005,0.6524,0.6404,-0.03400000000000003,-300.6521657070024,hard_gate_pass,selected_best_gain_in_batch
S04:intermediate:nogroup:slab:SB800X3002.00,205,4,intermediate,wall,,wall_thickness_down,wall_thickness,DBUSER,DBUSER,0.01,0.01,0.0,0.96,0.94,1.0999999999999999,1.0999999999999999,612.6000000000001,608.2607500000001,-4.339249999999993,0.0,0.41160981012878034,0.41160981012878034,1.2462441211956519,1.2462441211956519,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4106000000000001,0.37660000000000005,0.6524,0.6404,-0.03400000000000003,-254.7053418162896,hard_gate_pass,selected_best_gain_in_batch
S06:intermediate:nogroup:slab:SB800X3002.00,289,6,intermediate,wall,,wall_thickness_down,wall_thickness,DBUSER,DBUSER,0.01,0.01,0.0,0.96,0.94,1.0999999999999999,1.0999999999999999,612.6000000000001,608.2607500000001,-4.339249999999993,0.0,0.4552076437802751,0.4552076437802751,1.2462441211956519,1.2462441211956519,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4106000000000001,0.37660000000000005,0.6524,0.6404,-0.03400000000000003,-281.22419281152304,hard_gate_pass,selected_best_gain_in_batch
S07:intermediate:nogroup:slab:SB1500X800,295,7,intermediate,wall,,wall_thickness_down,wall_thickness,DBUSER,DBUSER,0.01,0.01,0.0,0.96,0.94,1.0999999999999999,1.0999999999999999,612.6000000000001,608.2607500000001,-4.339249999999993,0.0,0.4552076437802751,0.4552076437802751,1.2462441211956519,1.2462441211956519,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4106000000000001,0.37660000000000005,0.6524,0.6404,-0.03400000000000003,-281.22419281152304,hard_gate_pass,selected_best_gain_in_batch
S03:perimeter:nogroup:slab:default,51,3,perimeter,wall,,detailing_down,detailing,,,0.010000000000000005,0.010000000000000005,0.0,0.9600000000000002,0.9600000000000002,1.0999999999999996,1.0599999999999996,612.6000000000008,609.6595200000008,-2.9404799999999796,0.0,0.5501960651847768,0.5501960651847768,1.1156852132608692,1.1156852132608692,KDS-MOMENT-Y-001,1.9872000000000005,1.9872000000000005,0.37399104000000005,0.37399104000000005,0.4193999999999998,0.34739999999999976,0.6595999999999995,0.5995999999999995,-0.07200000000000001,-338.3727490064402,hard_gate_pass,selected_best_gain_in_batch
